"competitor number of consumers","number of consumers","competitor potential consumers","potential consumers","competitor product innovation","product innovation","competitor consumer advocacy","consumer advocacy","competitor necessity to consumers","necessity to consumers","competitor operational efficiency","operational efficiency","competitor capital investment","capital investment","competitor time to innovation","time to innovation","competitor key partner efficiency","key partner efficiency","fitness","competitor advantage in number of consumers","competitor advantage in potential consumers","competitor advantage in product innovation","competitor advantage in consumer advocacy","competitor advantage in necessity to consumers","competitor advantage in operational efficiency","competitor advantage in capital investment","competitor advantage in time to innovation","competitor advantage in key partner efficiency"
"3-Medium","2-Low","3-Medium","1-Very Low","5-Very High","4-High","3-Medium","1-Very Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium"
"3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","1-Very Low","1-Very Low","4-High","4-High","2-Low","4-High","4-High","4-High","2-Low","3-Medium","1-Very Low","3-Medium","5-Very High","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","2-Low","2-Low","2-Low","2-Low"
"3-Medium","4-High","3-Medium","1-Very Low","2-Low","4-High","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","4-High","2-Low","4-High","4-High","1-Very Low","1-Very Low","5-Very High","2-Low","3-Medium","2-Low","2-Low","3-Medium","4-High","4-High","3-Medium","3-Medium"
"2-Low","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","2-Low","1-Very Low","5-Very High","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","1-Very Low","1-Very Low","5-Very High","2-Low","1-Very Low","4-High","2-Low","4-High","4-High","3-Medium","1-Very Low","3-Medium"
"4-High","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","4-High","4-High","5-Very High","4-High","2-Low","3-Medium","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","5-Very High","4-High","4-High","2-Low","3-Medium","2-Low","4-High","2-Low","5-Very High","3-Medium"
"3-Medium","4-High","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","2-Low","1-Very Low","5-Very High","3-Medium","3-Medium","2-Low","2-Low","2-Low","4-High","4-High","3-Medium","4-High"
"4-High","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium"
"4-High","2-Low","4-High","3-Medium","3-Medium","1-Very Low","4-High","2-Low","5-Very High","4-High","3-Medium","4-High","4-High","3-Medium","3-Medium","4-High","1-Very Low","2-Low","2-Low","4-High","4-High","4-High","4-High","4-High","2-Low","4-High","2-Low","3-Medium"
"4-High","4-High","4-High","1-Very Low","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","4-High","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","4-High","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","3-Medium"
"3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","5-Very High","3-Medium","1-Very Low","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","5-Very High","3-Medium"
"2-Low","4-High","4-High","1-Very Low","3-Medium","2-Low","3-Medium","1-Very Low","4-High","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","5-Very High","2-Low","4-High","4-High","3-Medium","4-High","4-High","4-High","4-High","3-Medium"
"1-Very Low","3-Medium","4-High","1-Very Low","1-Very Low","3-Medium","2-Low","3-Medium","4-High","5-Very High","4-High","4-High","3-Medium","3-Medium","3-Medium","5-Very High","1-Very Low","2-Low","4-High","2-Low","4-High","2-Low","2-Low","2-Low","4-High","3-Medium","1-Very Low","3-Medium"
"3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"3-Medium","4-High","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","4-High","5-Very High","2-Low","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium"
"3-Medium","3-Medium","4-High","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","3-Medium","5-Very High","4-High","2-Low","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","5-Very High","3-Medium"
"3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","5-Very High","3-Medium","2-Low","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","4-High","4-High","1-Very Low","1-Very Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High"
"1-Very Low","4-High","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","4-High","1-Very Low","2-Low","5-Very High","1-Very Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium"
"3-Medium","3-Medium","2-Low","1-Very Low","4-High","2-Low","2-Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium"
"3-Medium","2-Low","2-Low","1-Very Low","1-Very Low","4-High","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","4-High","2-Low","2-Low","1-Very Low","3-Medium","4-High","2-Low","2-Low","3-Medium","2-Low","4-High","3-Medium","4-High","4-High"
"3-Medium","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","2-Low","4-High","4-High","2-Low","2-Low","2-Low","1-Very Low","1-Very Low","5-Very High","2-Low","2-Low","2-Low","1-Very Low","4-High","2-Low","4-High","3-Medium","3-Medium"
"4-High","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","2-Low","1-Very Low","4-High","4-High","2-Low","3-Medium","3-Medium","4-High","3-Medium","4-High","1-Very Low","3-Medium","5-Very High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low"
"3-Medium","3-Medium","2-Low","1-Very Low","4-High","4-High","1-Very Low","2-Low","2-Low","3-Medium","4-High","4-High","2-Low","4-High","3-Medium","4-High","1-Very Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium"
"3-Medium","4-High","5-Very High","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","2-Low","4-High","1-Very Low","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","1-Very Low","4-High","5-Very High","2-Low","5-Very High","4-High","2-Low","2-Low","2-Low","4-High","2-Low","2-Low"
"3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","5-Very High","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","5-Very High"
"3-Medium","4-High","2-Low","2-Low","1-Very Low","2-Low","4-High","1-Very Low","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","2-Low","4-High","3-Medium"
"4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","3-Medium","1-Very Low","2-Low","3-Medium","5-Very High","3-Medium","4-High","4-High","2-Low","4-High","2-Low","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","4-High","4-High","4-High"
"1-Very Low","4-High","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","5-Very High","3-Medium","4-High","4-High","3-Medium","3-Medium","5-Very High","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium"
"2-Low","4-High","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","2-Low","2-Low","5-Very High","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"3-Medium","3-Medium","5-Very High","2-Low","2-Low","2-Low","3-Medium","1-Very Low","4-High","2-Low","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","5-Very High","3-Medium","4-High","4-High","4-High","2-Low","4-High","3-Medium"
"2-Low","2-Low","5-Very High","1-Very Low","4-High","3-Medium","1-Very Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","5-Very High","4-High","1-Very Low","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low"
"3-Medium","3-Medium","4-High","1-Very Low","2-Low","4-High","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","4-High","2-Low","2-Low","3-Medium","2-Low","3-Medium","4-High","4-High"
"3-Medium","2-Low","2-Low","2-Low","2-Low","2-Low","2-Low","2-Low","4-High","4-High","2-Low","3-Medium","2-Low","3-Medium","4-High","4-High","3-Medium","1-Very Low","5-Very High","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","5-Very High"
"2-Low","4-High","2-Low","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","5-Very High","4-High","1-Very Low","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low"
"4-High","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","1-Very Low","4-High","1-Very Low","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","2-Low","4-High","3-Medium"
"4-High","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium"
"3-Medium","2-Low","2-Low","1-Very Low","1-Very Low","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","1-Very Low","2-Low","5-Very High","4-High","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"3-Medium","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","4-High","2-Low","1-Very Low","3-Medium","5-Very High","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","2-Low","5-Very High","2-Low"
"4-High","5-Very High","3-Medium","1-Very Low","3-Medium","3-Medium","1-Very Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","4-High","1-Very Low","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","1-Very Low","2-Low","2-Low"
"3-Medium","2-Low","2-Low","1-Very Low","2-Low","3-Medium","2-Low","1-Very Low","4-High","4-High","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","1-Very Low","4-High"
"5-Very High","4-High","4-High","1-Very Low","4-High","3-Medium","2-Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","5-Very High","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium"
"5-Very High","3-Medium","2-Low","2-Low","4-High","3-Medium","2-Low","1-Very Low","4-High","3-Medium","2-Low","2-Low","4-High","3-Medium","5-Very High","5-Very High","1-Very Low","1-Very Low","5-Very High","4-High","2-Low","3-Medium","2-Low","4-High","4-High","4-High","3-Medium","3-Medium"
"2-Low","4-High","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","1-Very Low","5-Very High","3-Medium","5-Very High","4-High","4-High","3-Medium","4-High","5-Very High","5-Very High","1-Very Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","2-Low","5-Very High"
"3-Medium","4-High","4-High","1-Very Low","5-Very High","2-Low","2-Low","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High","2-Low","1-Very Low","1-Very Low","5-Very High","2-Low","4-High","5-Very High","2-Low","4-High","3-Medium","4-High","4-High","3-Medium"
"2-Low","5-Very High","3-Medium","4-High","3-Medium","4-High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","3-Medium","4-High","2-Low","2-Low","5-Very High","1-Very Low","3-Medium","3-Medium","1-Very Low","4-High","3-Medium","1-Very Low","2-Low","3-Medium"
"3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","1-Very Low","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","1-Very Low","3-Medium","5-Very High","3-Medium","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low"
"3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","2-Low","2-Low","2-Low","2-Low","2-Low","3-Medium","4-High","2-Low","2-Low","5-Very High","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","5-Very High","1-Very Low","3-Medium","4-High","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","5-Very High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium"
"2-Low","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","5-Very High","5-Very High","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"3-Medium","3-Medium","2-Low","2-Low","1-Very Low","1-Very Low","3-Medium","1-Very Low","4-High","2-Low","4-High","3-Medium","4-High","4-High","5-Very High","3-Medium","1-Very Low","4-High","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","4-High","2-Low"
"1-Very Low","3-Medium","4-High","2-Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","4-High","2-Low","3-Medium","4-High","4-High","2-Low","2-Low","1-Very Low","3-Medium","5-Very High","2-Low","4-High","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low"
"4-High","4-High","1-Very Low","2-Low","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","3-Medium","4-High","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"5-Very High","4-High","2-Low","2-Low","1-Very Low","1-Very Low","1-Very Low","1-Very Low","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","5-Very High","4-High","3-Medium","4-High","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium"
"2-Low","2-Low","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","2-Low","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","5-Very High","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low"
"4-High","3-Medium","2-Low","1-Very Low","1-Very Low","4-High","1-Very Low","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","2-Low","5-Very High","5-Very High","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","4-High"
"3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","2-Low","5-Very High","3-Medium","3-Medium","4-High","4-High","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","2-Low","2-Low","3-Medium","3-Medium"
"4-High","2-Low","2-Low","3-Medium","2-Low","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","4-High","1-Very Low","2-Low","5-Very High","5-Very High","2-Low","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium"
"2-Low","5-Very High","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","5-Very High","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High"
"5-Very High","5-Very High","3-Medium","1-Very Low","3-Medium","2-Low","2-Low","1-Very Low","4-High","4-High","4-High","4-High","2-Low","3-Medium","4-High","2-Low","2-Low","2-Low","5-Very High","3-Medium","4-High","4-High","2-Low","3-Medium","4-High","2-Low","4-High","3-Medium"
"2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","4-High","2-Low","1-Very Low","3-Medium","5-Very High","2-Low","4-High","4-High","2-Low","3-Medium","2-Low","2-Low","4-High","2-Low"
"3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","5-Very High","3-Medium","2-Low","2-Low","5-Very High","3-Medium","4-High","4-High","2-Low","4-High","5-Very High","3-Medium","4-High","3-Medium"
"2-Low","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","2-Low","2-Low","4-High","5-Very High","2-Low","4-High","4-High","3-Medium","5-Very High","4-High","1-Very Low","1-Very Low","5-Very High","2-Low","2-Low","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"1-Very Low","4-High","4-High","1-Very Low","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","5-Very High","3-Medium","1-Very Low","5-Very High","2-Low","4-High","2-Low","2-Low","2-Low","4-High","2-Low","1-Very Low","4-High"
"2-Low","3-Medium","4-High","1-Very Low","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","4-High","2-Low","4-High","2-Low","1-Very Low","1-Very Low","5-Very High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","4-High","4-High","3-Medium"
"4-High","4-High","3-Medium","1-Very Low","4-High","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","4-High","1-Very Low","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","4-High","4-High","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium"
"2-Low","5-Very High","2-Low","2-Low","3-Medium","4-High","4-High","2-Low","4-High","4-High","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","1-Very Low","2-Low","5-Very High","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium"
"3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","4-High","1-Very Low","1-Very Low","5-Very High","4-High","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium"
"3-Medium","2-Low","3-Medium","1-Very Low","4-High","2-Low","3-Medium","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High","4-High"
