"","competitor number of customers","number of customers","competitor potential customers","potential customers","competitor innovation","innovation","competitor organic growth","organic growth","competitor flowers replacability","flowers replacability","competitor returns to scale","returns to scale","competitor capital investment","capital investment","competitor days to plant maturity","days to plant maturity","competitor floriculturist innovation","floriculturist innovation","fitness","competitor advantage in customers","competitor advantage in potential customers","competitor advantage in innovation","competitor advantage in organic growth","competitor advantage in flowers replacability","competitor advantage in returns to scale","competitor advantage in capital investment","competitor advantage in days to plant maturity","competitor advantage in floriculturist innovation"
"3118","2-Low","5-Very High","3-Medium","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","4-High","4-High","4-High","4-High","1-Very Low","1-Very Low","5-Very High","1-Very Low","2-Low","3-Medium","4-High","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium"
"3119","4-High","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","4-High","1-Very Low","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","5-Very High","2-Low","2-Low","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","2-Low","2-Low","2-Low","3-Medium"
"3120","3-Medium","4-High","2-Low","2-Low","1-Very Low","2-Low","3-Medium","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","4-High","2-Low","5-Very High","4-High","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High","2-Low","3-Medium","4-High","4-High","2-Low"
"3121","3-Medium","2-Low","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","2-Low","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"3122","4-High","4-High","3-Medium","4-High","2-Low","1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","4-High","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low"
"3123","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","2-Low","4-High","4-High","4-High","4-High","3-Medium","4-High","2-Low","1-Very Low","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"3124","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"3125","4-High","2-Low","3-Medium","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","4-High","5-Very High","1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low"
"3126","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","2-Low","4-High","3-Medium"
"3127","5-Very High","2-Low","3-Medium","4-High","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","2-Low","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High"
"3128","3-Medium","2-Low","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","2-Low","2-Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium"
"3129","2-Low","3-Medium","3-Medium","2-Low","4-High","1-Very Low","3-Medium","1-Very Low","5-Very High","4-High","3-Medium","3-Medium","3-Medium","2-Low","4-High","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","5-Very High","4-High","3-Medium","4-High","4-High","3-Medium","3-Medium"
"3130","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","1-Very Low","1-Very Low","1-Very Low","4-High","4-High","2-Low","2-Low","2-Low","3-Medium","4-High","2-Low","3-Medium"
"3131","2-Low","3-Medium","2-Low","4-High","1-Very Low","1-Very Low","3-Medium","1-Very Low","3-Medium","2-Low","4-High","4-High","2-Low","2-Low","3-Medium","4-High","2-Low","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium"
"3132","3-Medium","4-High","2-Low","2-Low","3-Medium","4-High","2-Low","1-Very Low","3-Medium","5-Very High","3-Medium","4-High","3-Medium","2-Low","5-Very High","4-High","2-Low","1-Very Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium"
"3133","2-Low","2-Low","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","4-High","5-Very High","3-Medium","3-Medium","4-High","2-Low","5-Very High","4-High","1-Very Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","3-Medium"
"3134","3-Medium","2-Low","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","4-High","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium"
"3135","4-High","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","5-Very High","4-High","3-Medium","3-Medium","4-High","4-High","4-High","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","4-High","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium"
"3136","4-High","3-Medium","4-High","4-High","2-Low","1-Very Low","2-Low","3-Medium","2-Low","4-High","2-Low","2-Low","3-Medium","3-Medium","5-Very High","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium"
"3137","2-Low","4-High","3-Medium","4-High","2-Low","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","4-High","3-Medium","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low"
"3138","1-Very Low","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","4-High","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"3139","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","5-Very High","3-Medium","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High","2-Low","4-High","3-Medium"
"3140","1-Very Low","2-Low","1-Very Low","4-High","4-High","1-Very Low","3-Medium","2-Low","4-High","4-High","1-Very Low","4-High","3-Medium","4-High","3-Medium","2-Low","1-Very Low","2-Low","5-Very High","2-Low","1-Very Low","4-High","4-High","3-Medium","1-Very Low","2-Low","4-High","2-Low"
"3141","3-Medium","2-Low","4-High","4-High","3-Medium","1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium"
"3142","4-High","4-High","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","2-Low","4-High","5-Very High","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","4-High","3-Medium","2-Low"
"3143","3-Medium","4-High","2-Low","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","4-High","3-Medium","1-Very Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","4-High"
"3144","4-High","2-Low","4-High","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","4-High","2-Low","3-Medium","5-Very High","4-High","1-Very Low","3-Medium","1-Very Low","4-High","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","2-Low"
"3145","4-High","2-Low","4-High","4-High","3-Medium","1-Very Low","1-Very Low","4-High","2-Low","4-High","3-Medium","4-High","4-High","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","2-Low","4-High"
"3146","4-High","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","2-Low","4-High","3-Medium","4-High","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","5-Very High","2-Low","2-Low","2-Low","3-Medium","4-High","4-High"
"3147","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","4-High","4-High","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"3148","3-Medium","4-High","4-High","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","4-High","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium"
"3149","4-High","3-Medium","4-High","1-Very Low","3-Medium","2-Low","3-Medium","2-Low","4-High","4-High","3-Medium","2-Low","4-High","4-High","2-Low","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High"
"3150","3-Medium","2-Low","2-Low","4-High","2-Low","2-Low","2-Low","2-Low","2-Low","5-Very High","3-Medium","2-Low","2-Low","3-Medium","4-High","4-High","1-Very Low","1-Very Low","4-High","3-Medium","1-Very Low","2-Low","3-Medium","1-Very Low","4-High","2-Low","3-Medium","3-Medium"
"3151","4-High","3-Medium","2-Low","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"3152","3-Medium","2-Low","4-High","2-Low","2-Low","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","4-High","2-Low","3-Medium","5-Very High","2-Low","4-High","1-Very Low","1-Very Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","4-High"
"3153","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","2-Low","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low"
"3154","3-Medium","3-Medium","3-Medium","5-Very High","2-Low","1-Very Low","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","2-Low","3-Medium","4-High","5-Very High","3-Medium","2-Low","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","2-Low","2-Low","5-Very High","2-Low","4-High","3-Medium"
"3155","3-Medium","2-Low","4-High","2-Low","3-Medium","1-Very Low","3-Medium","2-Low","2-Low","5-Very High","4-High","4-High","3-Medium","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","1-Very Low","3-Medium"
"3156","4-High","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","4-High","4-High","1-Very Low","3-Medium","3-Medium","3-Medium"
"3157","3-Medium","2-Low","2-Low","2-Low","2-Low","1-Very Low","4-High","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","4-High","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High"
"3158","1-Very Low","2-Low","2-Low","2-Low","4-High","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","5-Very High","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High"
"3159","4-High","4-High","3-Medium","4-High","2-Low","1-Very Low","2-Low","1-Very Low","5-Very High","4-High","3-Medium","3-Medium","2-Low","2-Low","5-Very High","4-High","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low"
"3160","3-Medium","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium"
"3161","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","3-Medium","4-High"
"3162","3-Medium","1-Very Low","4-High","4-High","1-Very Low","2-Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium"
"3163","3-Medium","3-Medium","4-High","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","4-High","5-Very High","2-Low","2-Low","2-Low","5-Very High","4-High","4-High","2-Low","3-Medium","1-Very Low","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium"
"3164","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","5-Very High","5-Very High","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","2-Low","3-Medium","4-High"
"3165","5-Very High","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","4-High","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium"
"3166","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","1-Very Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","2-Low","2-Low"
"3167","3-Medium","4-High","2-Low","2-Low","2-Low","1-Very Low","2-Low","3-Medium","4-High","5-Very High","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High","2-Low","3-Medium","2-Low"
"3168","3-Medium","4-High","3-Medium","5-Very High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High","4-High","4-High","2-Low","1-Very Low","5-Very High","2-Low","2-Low","1-Very Low","2-Low","2-Low","3-Medium","1-Very Low","3-Medium","4-High"
"3169","4-High","3-Medium","4-High","3-Medium","4-High","1-Very Low","2-Low","2-Low","3-Medium","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High"
"3170","4-High","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","1-Very Low","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","4-High","3-Medium","4-High","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","2-Low","3-Medium"
"3171","5-Very High","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","4-High","2-Low","2-Low","4-High","3-Medium","4-High","1-Very Low","2-Low","2-Low","4-High","3-Medium","4-High","3-Medium","2-Low","4-High","2-Low","2-Low","2-Low"
"3172","3-Medium","2-Low","4-High","5-Very High","2-Low","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","2-Low","2-Low","4-High","5-Very High","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","5-Very High"
"3173","2-Low","2-Low","4-High","2-Low","2-Low","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","5-Very High","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","2-Low","4-High","4-High","2-Low","3-Medium","3-Medium"
"3174","3-Medium","2-Low","3-Medium","4-High","2-Low","1-Very Low","4-High","1-Very Low","4-High","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","5-Very High","4-High","2-Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium"
"3175","2-Low","3-Medium","2-Low","4-High","1-Very Low","2-Low","3-Medium","2-Low","4-High","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","4-High","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","4-High","4-High"
"3176","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"3177","2-Low","5-Very High","3-Medium","2-Low","4-High","1-Very Low","4-High","1-Very Low","4-High","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","4-High","2-Low","4-High","5-Very High","5-Very High","4-High","3-Medium","1-Very Low","4-High","3-Medium"
"3178","2-Low","4-High","2-Low","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium"
"3179","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","4-High","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium","5-Very High","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","3-Medium"
"3180","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","5-Very High","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"3181","2-Low","2-Low","3-Medium","2-Low","2-Low","1-Very Low","4-High","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium","4-High","1-Very Low","4-High","3-Medium","3-Medium","4-High"
"3182","3-Medium","3-Medium","2-Low","3-Medium","5-Very High","2-Low","2-Low","1-Very Low","4-High","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium"
"3183","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","1-Very Low","4-High","3-Medium","2-Low","2-Low","3-Medium","4-High","4-High","4-High","2-Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","2-Low","4-High","3-Medium","2-Low","3-Medium","4-High"
"3184","2-Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium","5-Very High","4-High","1-Very Low","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
